AphiaID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	taxonRank	Genus	Subgenus	Species	Subspecies	taxonomicStatus	Unacceptreason	LSID
231787	Akashiwo	G.Hansen & Moestrup, 2000	231787	Akashiwo	G.Hansen & Moestrup, 2000	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Genus	Akashiwo				accepted		urn:lsid:marinespecies.org:taxname:231787
232546	Akashiwo sanguinea	(K.Hirasaka) Gert Hansen & Moestrup, 2000	232546	Akashiwo sanguinea	(K.Hirasaka) Gert Hansen & Moestrup, 2000	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Species	Akashiwo		sanguinea		accepted		urn:lsid:marinespecies.org:taxname:232546
109470	Alexandrium	Halim, 1960	109470	Alexandrium	Halim, 1960	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Genus	Alexandrium				accepted		urn:lsid:marinespecies.org:taxname:109470
109707	Alexandrium affine	(H.Inoue & Y.Fukuyo) Balech, 1995	109707	Alexandrium affine	(H.Inoue & Y.Fukuyo) Balech, 1995	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		affine		accepted		urn:lsid:marinespecies.org:taxname:109707
231872	Alexandrium andersoni	Balech, 1990	246835	Alexandrium andersonii	Balech, 1990	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		andersoni		unaccepted	zoological spelling	urn:lsid:marinespecies.org:taxname:231872
246835	Alexandrium andersonii	Balech, 1990	246835	Alexandrium andersonii	Balech, 1990	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		andersonii		accepted		urn:lsid:marinespecies.org:taxname:246835
233452	Alexandrium angustitabulatum	F.J.R.Taylor, 1995	109711	Alexandrium minutum	Halim, 1960	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		angustitabulatum		unaccepted	synonym, nom. illeg.	urn:lsid:marinespecies.org:taxname:233452
833063	Alexandrium australiense	Sh.Murray, 2014	833063	Alexandrium australiense	Sh.Murray, 2014	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		australiense		accepted		urn:lsid:marinespecies.org:taxname:833063
109708	Alexandrium balechii	(Steidinger) Balech, 1995	109708	Alexandrium balechii	(Steidinger) Balech, 1995	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		balechii		accepted		urn:lsid:marinespecies.org:taxname:109708
231873	Alexandrium catenella	(Whedon & Kofoid) Balech, 1985	231873	Alexandrium catenella	(Whedon & Kofoid) Balech, 1985	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		catenella		accepted		urn:lsid:marinespecies.org:taxname:231873
