ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Chroococcus turgidus	146566	exact	Chroococcus turgidus	(K�tzing) N�geli, 1849	146566	Chroococcus turgidus	(K�tzing) N�geli, 1849	146566	
Siphonema	603298	exact	Siphonema	Geitler	600988	Siphononema	Geitler, 1925	600988	
Hydrococcus	206054	exact	Hydrococcus	K�tzing, 1833	206054	Hydrococcus	K�tzing, 1833	206054	
Microcystis	146557	exact	Microcystis	Lemmermann, 1907	146557	Microcystis	Lemmermann, 1907	146557	
Microchaete	147016	exact	Microchaete	Thuret ex Bornet & Flahault, 1886	147016	Microchaete	Thuret ex Bornet & Flahault, 1886	147016	
Rivularia	146623	exact	Rivularia	C.Agardh ex Bornet & Flahault, 1886	146623	Rivularia	C.Agardh ex Bornet & Flahault, 1886	146623	
Nodularia	156692	exact	Nodularia	Mertens ex Bornet & Flahault, 1886	156692	Nodularia	Mertens ex Bornet & Flahault, 1886	156692	
Nostoc calcicola	661155	exact	Nostoc calcicola	Br�bisson ex Bornet & Flahault, 1886	661155	Nostoc calcicola	Br�bisson ex Bornet & Flahault, 1886	661155	
Dolichospermum	578476	exact	Dolichospermum	(Ralfs ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Kom�rek, 2009	578476	Dolichospermum	(Ralfs ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Kom�rek, 2009	578476	
Dolichospermum smithii	625409	exact	Dolichospermum smithii	(Kom�rek) Wacklin, L.Hoffmann & Kom�rek, 2009	625409	Dolichospermum smithii	(Kom�rek) Wacklin, L.Hoffmann & Kom�rek, 2009	625409	
Hydrocoryne	600987	exact	Hydrocoryne	H.Schwabe ex Bornet & Flahault, 1886	600987	Hydrocoryne	H.Schwabe ex Bornet & Flahault, 1886	600987	
Scytonema mirabile	240515	exact	Scytonema mirabile	Bornet, 1889	240515	Scytonema mirabile	Bornet, 1889	240515	
Leibleinia epiphytica	146673	exact	Leibleinia epiphytica	(Hieronymus) Comp�re, 1985	146673	Leibleinia epiphytica	(Hieronymus) Comp�re, 1985	146673	
Phormidium subuliforme	177552	exact	Phormidium subuliforme	(Thwaites ex Gomont) Anagnostidis & Kom�rek, 1988	657811	Phormidium thwaitesii	I.Umezaki & M.Watanabe, 1994	657811	
Tychonema exposirum	619653	match_quarantine	Phormidium exospirum	(Skuja) Anagnostidis, 2001	619653	Phormidium exospirum	(Skuja) Anagnostidis, 2001	619653	
Schizothrix	146655	exact	Schizothrix	K�tzing ex Gomont, 1892	146655	Schizothrix	K�tzing ex Gomont, 1892	146655	
Fischerella	600873	exact	Fischerella	(Bornet & Flahault) Gomont, 1895	600873	Fischerella	(Bornet & Flahault) Gomont, 1895	600873	
Rhabdoderma	177434	exact	Rhabdoderma	Schmidle & Lauterborn, 1900	177434	Rhabdoderma	Schmidle & Lauterborn, 1900	177434	
Glaucophyta	1486517	exact	Glaucophyta	Skuja, 1948	1486517	Glaucophyta	Skuja, 1948	1486517	
Spirogyra catenaeformis	609366	phonetic	Spirogyra cateniformis	(Hassall) K�tzing, 1849	609366	Spirogyra cateniformis	(Hassall) K�tzing, 1849	609366	
Spirogyra grossi	623280	phonetic	Spirogyra grossii	Schmidle, 1901	846081	Spirogyra setiformis	(Schmidle) Petlovany, 2015	846081	
Spirogyra setiformis	844028	exact	Spirogyra setiformis	K�tzing, 1845	844028	Spirogyra setiformis	K�tzing, 1845	844028	
Mougeotia quadrangulata	616433	exact	Mougeotia quadrangulata	Hassall, 1843	616433	Mougeotia quadrangulata	Hassall, 1843	616433	
