Sökterm	Matchstatus	Taxon id	Status	Vetenskapligt namn	Auktor	Svenskt namn	Kategori	Svensk förekomst	Guid	Synonymer	Rike	Fylum	Klass	Ordning	Familj	Släkte	Art
Paratontonia gracillima	Ingen träff																
Tontonia appendiculariformis	Ingen träff																
Bicosoeca ainikkii	Ingen träff																
Dinophyceae incertae sedis	Ingen träff																
Dinophysis contracta	Ingen träff																
Amphidinium acutum	Ingen träff																
Gyrodinium lacryma	Ingen träff																
Corythodinium tesselatum	Ingen träff																
Astrorhiza	Manuellt val	1015195	Accepterat	Astrorhiza	Sandahl, 1858		Släkte	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 1015195	"Arenistella Fischer, 1875;Astrorhizinella Saidova, 1970"	Chromista	Retaria	Monothalamea	Astrorhizida	Astrorhizidae		
Prymnesiophyceae incertae sedis	Ingen träff																
Trigonaspis	Manuellt val	1010283	Accepterat	Trigonaspis	H.A.Thomsen		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010283		Chromista	Haptophyta	Haptophyta, classis incertae sedis	Haptophyta, ordo incertae sedis	Papposphaeraceae		
Discocelis	Manuellt val	1010339	Accepterat	Discocelis	Vørs		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010339		Chromista	Bigyra	Bikosea	Bicosoecales	Cafeteriaceae		
Chaetoceros pauciramosus	Ingen träff																
Staurosira inflata	Ingen träff																
Amylax triacantha var. triacantha	Ingen träff																
Octactis speculum	Ingen träff																
Lychaete pygmaea	Ingen träff																
Ulvella cladophorae	Ingen träff																
Scrippsiella acuminata	Ingen träff																
Cerataulus granulatus	Ingen träff																
Decussiphycus	Ingen träff																
Decussiphycus placenta	Ingen träff																
Delicatophycus	Ingen träff																
Delicatophycus delicatulus	Ingen träff																
Delicatophycus alpestris	Ingen träff																
Pediastrum angulosum var. angulosum	Manuellt val	6017994	Accepterat	Pediastrum angulosum var. angulosum			Varietet	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6017994		Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Pediastrum	Pediastrum angulosum
Corythodinium mucronatum	Ingen träff																
Kryptoperidinium triquetrum	Ingen träff																
Nottbeckia ochracea	Ingen träff																
Lepocinclis cyclidiopsis	Ingen träff																
Microchloropsis salina	Ingen träff																
Apocalathium aciculiferum	Ingen träff																
Unruhdinium penardii	Ingen träff																
Salpingoeca skujae	Ingen träff																
Ceratium hirundinella f. silesiacum	Ingen träff																
Prymnesium laurentianum	Ingen träff																
Prymnesium breviturritum	Ingen träff																
Heteroscytonema crispum	Ingen träff																
Pseudococcomyxa chodatii	Ingen träff																
Apocalathium malmogiense	Ingen träff																
Borghiella pascheri	Ingen träff																
Speroidium fungiforme	Ingen träff																
Biecheleria ordinata	Ingen träff																
Jadwigia hiemalis	Ingen träff																
Jadwigia neglecta	Ingen träff																
Tripos teres	Ingen träff																
Parvodinium inconspicuum var. armatum	Ingen träff																
Apocalathium aciculiferum var. inerme	Ingen träff																
Lebouridinium glaucum	Ingen träff																
Chlorocystidaceae	Manuellt val	3000688	Accepterat	Chlorocystidaceae	Kornmann & Sahling		Familj		urn:lsid: dyntaxa.se:Taxon: 3000688		Plantae	Chlorophyta	Ulvophyceae	Ulotrichales			
Bryopsis	Manuellt val	1008579	Accepterat	Bryopsis	J.V.Lamour.	grönplymer	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008579		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidaceae		
Derbesia	Manuellt val	1008581	Accepterat	Derbesia	Solier		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008581		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Derbesiaceae		
Chaetophora	Manuellt val	1008553	Accepterat	Chaetophora	Schrank	hårgeléalger	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008553		Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae		
Gomontia	Manuellt val	1008549	Accepterat	Gomontia	Bornet & Flahault		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008549		Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gomontiaceae		
Elachista	Manuellt val	1008488	Accepterat	Elachista	Duby	tångludd	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008488	Elachistea 	Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae		
Ralfsia	Manuellt val måste göras	232732	Accepterat	Pseudoralfsia verrucosa	(Areschoug) Parente, Fletcher & G.W.Saunders	ralfsia	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232732	"vårtig ralfsia ;Ralfsia verrucosa (Aresch.) Aresch.;Cruoria verrucosa Aresch."	Chromista	Gyrista	Phaeophyceae	Ralfsiales	Ralfsiaceae	Pseudoralfsia	
Ralfsia	Manuellt val måste göras	1008532	Accepterat	Pseudoralfsia	Parente, Fletcher & G.W.Saunders		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008532	Ralfsia Berk.	Chromista	Gyrista	Phaeophyceae	Ralfsiales	Ralfsiaceae		
Giraudia	Manuellt val	1008491	Accepterat	Giraudia	Derbès & Solier		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008491		Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae		
