species	hab_effect	taxon_id	scientific_name	authority	link
Halamphora coffeaeformis	ASP	624065	Halamphora coffeaeformis	(C.Agardh) Levkov, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=624065
Pseudo-nitzschia calliantha	ASP	246605	Pseudo-nitzschia calliantha	Lundholm, Moestrup & Hasle, 2003	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246605
Pseudo-nitzschia cuspidate	ASP	370512	Pseudo-nitzschia cuspidata	(Hasle) Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=370512
Pseudo-nitzschia delicatissima	ASP	149153	Pseudo-nitzschia delicatissima	(Cleve) Heiden, 1928	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=149153
Pseudo-nitzschia fraudulenta	ASP	246606	Pseudo-nitzschia fraudulenta	(Cleve) Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246606
Pseudo-nitzschia multiseries	ASP	175738	Pseudo-nitzschia multiseries	(Hasle) Hasle, 1995	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=175738
Pseudo-nitzschia pseudodelicatissima	ASP	156548	Pseudo-nitzschia pseudodelicatissima	(Hasle) Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=156548
Pseudo-nitzschia pungens	ASP	160528	Pseudo-nitzschia pungens	(Grunow ex Cleve) G.R.Hasle, 1993	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160528
Pseudo-nitzschia seriata	ASP	149152	Pseudo-nitzschia seriata	(Cleve) H.Peragallo, 1899	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=149152
Chrysochromulina leadbeateri	Fish killer	246591	Chrysochromulina leadbeateri	Estep, Davis, Hargreaves & Sieburth, 1984	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=246591
Phaeocystis globosa	Fish killer	160538	Phaeocystis globosa	Scherffel, 1899	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160538
Phaeocystis pouchetii	Fish killer	115106	Phaeocystis pouchetii	(Hariot) Lagerheim, 1896	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=115106
Prymnesium parvum	Fish killer	160564	Prymnesium parvum	N.Carter, 1937	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160564
Prymnesium polylepis	Fish killer	670030	Prymnesium polylepis	(Manton & Parke) Edvardsen, Eikrem & Probert, 2011	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=670030
Amphidinium carterae	Fish killer, haemolytic	109723	Amphidinium carterae	Hulburt, 1957	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109723
Amphidinium operculatum	Fish killer, haemolytic	109745	Amphidinium operculatum	Claparède & Lachmann, 1859	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109745
Dinophysis acuminata	DSP	109603	Dinophysis acuminata	Claparède & Lachmann, 1859	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109603
Dinophysis acuta	DSP	109604	Dinophysis acuta	Ehrenberg, 1839	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109604
Dinophysis caudata	DSP	109612	Dinophysis caudata	Saville-Kent, 1881	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109612
Dinophysis fortii	DSP	109624	Dinophysis fortii	Pavillard, 1924	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=109624
