taxon_id	ab_id	original_name	algae	ab_empire	ab_kingdom	ab_phylum	ab_class	ab_subclass	ab_order	ab_family	link	world_distribution_summary
101206	141043	Leegaardiella ovalis Lynn & Montagnes, 1988		Eukaryota	Chromista	Ciliophora	Spirotrichea	Choreotrichia	Choreotrichida	Leegaardiellidae	https://www.algaebase.org/search/species/detail/?species_id=141043	EUR 
101207	141044	Leegaardiella sol Lynn & Montagnes, 1988		Eukaryota	Chromista	Ciliophora	Spirotrichea	Choreotrichia	Choreotrichida	Leegaardiellidae	https://www.algaebase.org/search/species/detail/?species_id=141044	EUR 
101209	56523	Lohmanniella oviformis Leegaard, 1915		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strobilidiidae	https://www.algaebase.org/search/species/detail/?species_id=56523	EUR 
101264	56521	Laboea strobila Lohmann, 1908		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=56521	EUR 
101268	192947	Paratontonia gracillima (Fauré-Fremiet, 1924) Jankowski, 1978		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Tontoniidae	https://www.algaebase.org/search/species/detail/?species_id=192947	
101282	141137	Strombidium capitatum (Leegaard, 1915) Kahl, 1932		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=141137	EUR 
101287	56532	Strombidium compressum (Leegaard, 1915) Kahl, 1932		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=56532	EUR 
101288	143473	Strombidium conicoides (Leegaard, 1915) Kahl, 1932		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=143473	EUR 
101289	56525	Strombidium conicum (Lohmann, 1908) Wulff, 1919		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=56525	EUR 
101310	143474	Strombidium lagenula Fauré-Fremiet, 1924		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=143474	EUR 
101325	141139	Strombidium reticulatum (Leegaard, 1915) Busch, 1921		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=141139	EUR 
101335	56531	Strombidium sulcatum Claparède & Lachmann, 1859		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=56531	EUR 
101342	56535	Strombidium vestitum (Leegaard, 1915) Kahl, 1932		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=56535	EUR 
101344	141140	Strombidium wulffi Kahl, 1932		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=141140	EUR 
101345	192934	Tontonia appendiculariformis Fauré-Fremiet, 1914		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidiidae	https://www.algaebase.org/search/species/detail/?species_id=192934	
101350	143529	Strombidinopsis acuminata Fauré-Fremiet, 1924		Eukaryota	Chromista	Ciliophora	Ciliatea		Oligotrichida	Strombidinopsidae	https://www.algaebase.org/search/species/detail/?species_id=143529	EUR NAM 
103429	87159	Amastigomonas debruynei Saedeleer, 1931		Eukaryota	Amorphea	Sulcozoa	Apusomonadea 		Apusomonadida	Apusomonadidae	https://www.algaebase.org/search/species/detail/?species_id=87159	EUR 
103430	140967	Amastigomonas mutabilis (Griessmann) Molina & Nerad, 1991		Eukaryota	Amorphea	Sulcozoa	Apusomonadea 		Apusomonadida	Apusomonadidae	https://www.algaebase.org/search/species/detail/?species_id=140967	EUR 
103993	140974	Bicosoeca ainikkii Järnefelt, 1956	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=140974	EUR 
103996	36728	Bicosoeca gracilipes James-Clark, 1867	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=36728	EUR 
103997	55139	Bicosoeca lacustris H.J.Clark, 1867	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=55139	EUR NAM SAM 
103998	55141	Bicosoeca maris Picken, 1941	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=55141	EUR 
103999	55142	Bicosoeca mediterranea Pavillard, 1916	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=55142	EUR MID 
104000	140975	Bicosoeca mignotii Moestrup, Thomsen & Hibberd	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=140975	EUR 
104002	32246	Bicosoeca petiolata (F.Stein) E.G.Pringsheim, 1946	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=32246	EUR NAM AFR SWS AUS 
104003	72554	Bicosoeca planctonica Kisselev, 1931	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Bicosoecaceae	https://www.algaebase.org/search/species/detail/?species_id=72554	EUR 
