Species in NORCCA	scientific_name	Link to NORCCA website	AphiaID	Match type
Achnantes sp.				
Acrosiphonia sonderi	Acrosiphonia sonderi	https://norcca.scrol.net/species/Acrosiphonia-sonderi	144412	exact
Actinoptychus senarius	Actinoptychus senarius	https://norcca.scrol.net/species/Actinoptychus-senarius	148948	exact
Aff. Isochrysis sp.				
Aglaothamnion byssoides	Aglaothamnion byssoides	https://norcca.scrol.net/species/Aglaothamnion-byssoides	144490	exact
Alexandrium affine	Alexandrium affine	https://norcca.scrol.net/species/Alexandrium-affine	109707	exact
Alexandrium catenella	Alexandrium catenella	https://norcca.scrol.net/species/Alexandrium-catenella	231873	exact
Alexandrium minutum	Alexandrium minutum	https://norcca.scrol.net/species/Alexandrium-minutum	109711	exact
Alexandrium ostenfeldii	Alexandrium ostenfeldii	https://norcca.scrol.net/species/Alexandrium-ostenfeldii	109712	exact
Alexandrium pseudogonyaulax	Alexandrium pseudogonyaulax	https://norcca.scrol.net/species/Alexandrium-pseudogonyaulax	109713	exact
Alexandrium tamarense	Alexandrium tamarense	https://norcca.scrol.net/species/Alexandrium-tamarense	109714	exact
Amphidinium carterae	Amphidinium carterae	https://norcca.scrol.net/species/Amphidinium-carterae	109723	exact
Amphidinium sp.				
Amphidoma languida	Amphidoma languida	https://norcca.scrol.net/species/Amphidoma-languida	729889	exact
Amphora coffaeiformis	Amphora coffaeiformis	https://norcca.scrol.net/species/Amphora-coffaeiformis	624909	match_quarantine
Amphora sp.				
Anabaena austro-africana	Anabaena austro-africana	https://norcca.scrol.net/species/Anabaena-austro-africana	656249	exact
Anabaena inaequalis	Anabaena inaequalis	https://norcca.scrol.net/species/Anabaena-inaequalis	177659	exact
Anabaena lemmermannii var. lemmermannii	Anabaena lemmermannii var. lemmermannii	https://norcca.scrol.net/species/Anabaena-lemmermannii-var-lemmermannii		
Anabaena lemmermannii var. minor	Anabaena lemmermannii var. minor	https://norcca.scrol.net/species/Anabaena-lemmermannii-var-minor	1361865	match_quarantine
Anabaena oscillarioides	Anabaena oscillarioides	https://norcca.scrol.net/species/Anabaena-oscillarioides	239061	exact
Anabaena planctonica	Anabaena planctonica	https://norcca.scrol.net/species/Anabaena-planctonica	248094	exact
Anabaena solitaria	Anabaena solitaria	https://norcca.scrol.net/species/Anabaena-solitaria	578207	exact
Anabaena sp.				
Anabaena subcylindrica	Anabaena subcylindrica	https://norcca.scrol.net/species/Anabaena-subcylindrica	177650	exact
Anabaena torulosa	Anabaena torulosa	https://norcca.scrol.net/species/Anabaena-torulosa	146714	exact
Anabaenopsis arnoldii	Anabaenopsis arnoldii	https://norcca.scrol.net/species/Anabaenopsis-arnoldii	609458	exact
Anabaenopsis elenkinii	Anabaenopsis elenkinii	https://norcca.scrol.net/species/Anabaenopsis-elenkinii	345457	exact
Anabaenopsis sp.				
Anatheca cf. clathrata	Anatheca clathrata	https://norcca.scrol.net/species/Anatheca-cf-clathrata		
Ankistrodesmus spiralis	Ankistrodesmus spiralis	https://norcca.scrol.net/species/Ankistrodesmus-spiralis	248095	exact
Apatococcus lobatus	Apatococcus lobatus	https://norcca.scrol.net/species/Apatococcus-lobatus	610953	exact
Apedinella radians	Apedinella radians	https://norcca.scrol.net/species/Apedinella-radians	248097	exact
Aphanizomenon cf. klebahnii	Aphanizomenon klebahnii	https://norcca.scrol.net/species/Aphanizomenon-cf-klebahnii	625385	exact
Aphanizomenon flos-aquae	Aphanizomenon flos-aquae	https://norcca.scrol.net/species/Aphanizomenon-flos-aquae	248099	exact
Aphanizomenon gracile	Aphanizomenon gracile	https://norcca.scrol.net/species/Aphanizomenon-gracile	248100	exact
Aphanocapsa cf. grevillei	Aphanocapsa grevillei	https://norcca.scrol.net/species/Aphanocapsa-cf-grevillei	162667	exact
Aphanocapsa muscicola	Aphanocapsa muscicola	https://norcca.scrol.net/species/Aphanocapsa-muscicola	610127	exact
Aphanochaete sp.				
Aphanothece cf. elabens	Aphanothece elabens	https://norcca.scrol.net/species/Aphanothece-cf-elabens	609440	exact
Apocalathium aciculiferum	Apocalathium aciculiferum	https://norcca.scrol.net/species/Apocalathium-aciculiferum	1359179	exact
Apocalathium malmogiense	Apocalathium malmogiense	https://norcca.scrol.net/species/Apocalathium-malmogiense	1380043	exact
Arcocellulus cornucervis	Arcocellulus cornucervis	https://norcca.scrol.net/species/Arcocellulus-cornucervis	464322	exact
Arthronema africanum	Arthronema africanum	https://norcca.scrol.net/species/Arthronema-africanum	627824	exact
Arthrospira fusiformis	Arthrospira fusiformis	https://norcca.scrol.net/species/Arthrospira-fusiformis	612090	exact
Arthrospira maxima	Arthrospira maxima	https://norcca.scrol.net/species/Arthrospira-maxima	661163	exact
Arthrospira platensis	Arthrospira platensis	https://norcca.scrol.net/species/Arthrospira-platensis	213728	exact
Arthrospira sp.				
