scientific_name	AphiaID	Match type	ScientificName	Authority	status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Pyramimonas octopus	495382	exact	Pyramimonas octopus	Moestrup & Kristiansen, 1987	accepted	495382	Pyramimonas octopus	Moestrup & Kristiansen, 1987	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		octopus	
Pyramimonas tetrarhynchus	495194	exact	Pyramimonas tetrarhynchus	Schmarda, 1849	accepted	495194	Pyramimonas tetrarhynchus	Schmarda, 1849	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		tetrarhynchus	
Pyramimonas orientalis	547692	exact	Pyramimonas orientalis	Butcher ex McFadden, Hill & Wetherbee, 1986	accepted	547692	Pyramimonas orientalis	Butcher ex McFadden, Hill & Wetherbee, 1986	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		orientalis	
Pyramimonas grossii	495352	exact	Pyramimonas grossii	Parke, 1949	alternate representation	134550	Pyramimonas subg. Trichocystis grossii	Parke, 1949	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		grossii	
Pyramimonas parkeae	495287	exact	Pyramimonas parkeae	R.E.Norris & B.R.Pearson, 1975	accepted	495287	Pyramimonas parkeae	R.E.Norris & B.R.Pearson, 1975	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		parkeae	
Tetraselmis contracta	134544	exact	Tetraselmis contracta	(N.Carter) Butcher, 1959	accepted	134544	Tetraselmis contracta	(N.Carter) Butcher, 1959	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis		contracta	
Tetraselmis sp.	134526	exact	Tetraselmis	F.Stein, 1878	accepted	134526	Tetraselmis	F.Stein, 1878	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis			
Pavlova sp.	249731	exact	Pavlova	Butcher, 1952	accepted	249731	Pavlova	Butcher, 1952	Chromista	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova			
Stigeoclonium sp.	162717	exact	Stigeoclonium	Kützing, 1843	accepted	162717	Stigeoclonium	Kützing, 1843	Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Stigeoclonium			
Nephroselmis olivacea	375678	exact	Nephroselmis olivacea	Stein, 1878	accepted	375678	Nephroselmis olivacea	Stein, 1878	Plantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae	Nephroselmis		olivacea	
Micromonas pusilla	134564	exact	Micromonas pusilla	(Butcher) Manton & Parke, 1960	accepted	134564	Micromonas pusilla	(Butcher) Manton & Parke, 1960	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas		pusilla	
Eutreptiella braarudii	248121	exact	Eutreptiella braarudii	Throndsen, 1969	accepted	248121	Eutreptiella braarudii	Throndsen, 1969	Protozoa	Euglenozoa	Euglenoidea	Eutreptiida	Eutreptiaceae	Eutreptiella		braarudii	
Botrytella micromora	145484	exact	Botrytella micromora	Bory, 1822	accepted	145484	Botrytella micromora	Bory, 1822	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Botrytella		micromora	
Myriotrichia claviformis	145331	phonetic	Myriotrichia clavaeformis	Harvey, 1834	accepted	145331	Myriotrichia clavaeformis	Harvey, 1834	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Myriotrichia		clavaeformis	
Delamarea attenuata	145317	exact	Delamarea attenuata	(Kjellman) Rosenvinge, 1893	accepted	145317	Delamarea attenuata	(Kjellman) Rosenvinge, 1893	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Delamarea		attenuata	
Stragularia clavata	145002	exact	Stragularia clavata	(Harvey) Hamel, 1939	uncertain				Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Scytosiphonaceae	Stragularia		clavata	
Feldmannia simplex	145421	exact	Feldmannia simplex	(P.Crouan & H.Crouan) Hamel, 1939	accepted	145421	Feldmannia simplex	(P.Crouan & H.Crouan) Hamel, 1939	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Feldmannia		simplex	
Feldmannia mitchelliae	699648	exact	Feldmannia mitchelliae	(Harvey) H.-S.Kim, 2010	accepted	699648	Feldmannia mitchelliae	(Harvey) H.-S.Kim, 2010	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Feldmannia		mitchelliae	
Giraudya sphacelarioides																	
Compsonema minutum	145859	exact	Compsonema minutum	(C.Agardh) Kuckuck, 1953	accepted	145859	Compsonema minutum	(C.Agardh) Kuckuck, 1953	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Compsonema		minutum	
Pogotrichum filiforme	238952	exact	Pogotrichum filiforme	Reinke, 1892	accepted	238952	Pogotrichum filiforme	Reinke, 1892	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pogotrichum		filiforme	
Heterosigma akashiwo	160585	exact	Heterosigma akashiwo	(Y.Hada) Y.Hada ex Y.Hara & M.Chihara, 1987	accepted	160585	Heterosigma akashiwo	(Y.Hada) Y.Hada ex Y.Hara & M.Chihara, 1987	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	Heterosigma		akashiwo	
Apedinella radians	248097	exact	Apedinella radians	(Lohmann) P.H.Campbell, 1973	accepted	248097	Apedinella radians	(Lohmann) P.H.Campbell, 1973	Chromista	Ochrophyta	Dictyochophyceae	Pedinellales	Actinomonadaceae	Apedinella		radians	
Prymnesium parvum	160564	exact	Prymnesium parvum	N.Carter, 1937	accepted	160564	Prymnesium parvum	N.Carter, 1937	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium		parvum	
Prymnesium parvum f. patelliferum	688549	exact	Prymnesium parvum f. patelliferum	(J.C.Green, D.J.Hibberd & R.N.Pienaar) A.Larsen, 1999	accepted	688549	Prymnesium parvum f. patelliferum	(J.C.Green, D.J.Hibberd & R.N.Pienaar) A.Larsen, 1999	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium		parvum	
Chlamydomonas geitleri	664932	exact	Chlamydomonas geitleri	Ettl, 1969	accepted	664932	Chlamydomonas geitleri	Ettl, 1969	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas		geitleri	
Haematococcus lacustris	661559	exact	Haematococcus lacustris	(Girod-Chantrans) Rostafinski, 1875	accepted	661559	Haematococcus lacustris	(Girod-Chantrans) Rostafinski, 1875	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus		lacustris	
Tribonema aequale	616597	match_quarantine	Tribonema aequale	Pascher, 1925	accepted	616597	Tribonema aequale	Pascher, 1925	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema		aequale	
Oedogonium fragile	608539	exact	Oedogonium fragile	Wittrock ex Hirn, 1900	accepted	608539	Oedogonium fragile	Wittrock ex Hirn, 1900	Plantae	Chlorophyta	Chlorophyceae	Oedogoniales	Oedogoniaceae	Oedogonium		fragile	
Oedogonium vaucheri	655137	exact	Oedogonium vaucheri	A.Braun ex Hirn, 1900	accepted	655137	Oedogonium vaucheri	A.Braun ex Hirn, 1900	Plantae	Chlorophyta	Chlorophyceae	Oedogoniales	Oedogoniaceae	Oedogonium		vaucheri	
Mesotaenium caldariorum	611218	exact	Mesotaenium caldariorum	(Lagerheim) Hansgirg, 1886	accepted	611218	Mesotaenium caldariorum	(Lagerheim) Hansgirg, 1886	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Mesotaeniaceae	Mesotaenium		caldariorum	
Phaeostroma pustulosum	145455	exact	Phaeostroma pustulosum	Kuckuck, 1893	accepted	145455	Phaeostroma pustulosum	Kuckuck, 1893	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Phaeostroma		pustulosum	
Kuckuckia spinosa	145443	exact	Kuckuckia spinosa	(Kützing) Kornmann, 1958	accepted	145443	Kuckuckia spinosa	(Kützing) Kornmann, 1958	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Kuckuckia		spinosa	
