Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
K-0001	Pyramimonas octopus	Chlorophyta	Pyramimonadophyceae	Marine, Salt Marsh	https://norcca.scrol.net/strain/k-0001	https://norcca.scrol.net/species/pyramimonas-octopus
K-0002	Pyramimonas tetrarhynchus	Chlorophyta	Pyramimonadophyceae	Freshwater, Village pond with Cladophora fracta	https://norcca.scrol.net/strain/k-0002	https://norcca.scrol.net/species/pyramimonas-tetrarhynchus
K-0003	Pyramimonas orientalis	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0003	https://norcca.scrol.net/species/pyramimonas-orientalis
K-0004	Pyramimonas grossii	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0004	https://norcca.scrol.net/species/pyramimonas-grossii
K-0006	Pyramimonas parkeae	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0006	https://norcca.scrol.net/species/pyramimonas-parkeae
K-0011	Tetraselmis contracta	Chlorophyta	Chlorodendrophyceae	Brackish, Salt marsh	https://norcca.scrol.net/strain/k-0011	https://norcca.scrol.net/species/tetraselmis-contracta
K-0012	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0012	https://norcca.scrol.net/species/tetraselmis-sp
K-0013	Pavlova sp.	Haptophyta	Pavlovophyceae	Marine, Sea water, 13°C	https://norcca.scrol.net/strain/k-0013	https://norcca.scrol.net/species/pavlova-sp
K-0018	Stigeoclonium sp.	Chlorophyta	Chlorophyceae	Freshwater, Pond	https://norcca.scrol.net/strain/k-0018	https://norcca.scrol.net/species/stigeoclonium-sp
K-0019	Nephroselmis olivacea	Chlorophyta	Nephroselmidophyceae	Freshwater	https://norcca.scrol.net/strain/k-0019	https://norcca.scrol.net/species/nephroselmis-olivacea
K-0020	Nephroselmis olivacea	Chlorophyta	Nephroselmidophyceae	Freshwater	https://norcca.scrol.net/strain/k-0020	https://norcca.scrol.net/species/nephroselmis-olivacea
K-0023	Micromonas pusilla	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0023	https://norcca.scrol.net/species/micromonas-pusilla
K-0024	Micromonas pusilla	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0024	https://norcca.scrol.net/species/micromonas-pusilla
K-0026	Eutreptiella braarudii	Euglenozoa	Euglenophyceae	Marine	https://norcca.scrol.net/strain/k-0026	https://norcca.scrol.net/species/eutreptiella-braarudii
K-0037	Botrytella micromora	Ochrophyta	Phaeophyceae	Marine, On jetty (sublittoral)	https://norcca.scrol.net/strain/k-0037	https://norcca.scrol.net/species/botrytella-micromora
K-0038	Myriotrichia claviformis	Ochrophyta	Phaeophyceae	Marine, Epiphyte	https://norcca.scrol.net/strain/k-0038	https://norcca.scrol.net/species/myriotrichia-claviformis
K-0039	Delamarea attenuata	Ochrophyta	Phaeophyceae	Marine, On jetty (sublittoral)	https://norcca.scrol.net/strain/k-0039	https://norcca.scrol.net/species/delamarea-attenuata
K-0065	Stragularia clavata	Ochrophyta	Phaeophyceae	Marine, On stone (upper sublittoral)	https://norcca.scrol.net/strain/k-0065	https://norcca.scrol.net/species/stragularia-clavata
K-0068	Feldmannia simplex	Ochrophyta	Phaeophyceae	Marine, On/in Codium	https://norcca.scrol.net/strain/k-0068	https://norcca.scrol.net/species/feldmannia-simplex
K-0069	Feldmannia mitchelliae	Ochrophyta	Phaeophyceae	Marine, Littoral pool	https://norcca.scrol.net/strain/k-0069	https://norcca.scrol.net/species/feldmannia-mitchelliae
K-0070	Giraudya sphacelarioides	Ochrophyta	Phaeophyceae	Marine, Littoral pool	https://norcca.scrol.net/strain/k-0070	https://norcca.scrol.net/species/giraudya-sphacelarioides
K-0071	Compsonema minutum	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0071	https://norcca.scrol.net/species/compsonema-minutum
K-0072	Pogotrichum filiforme	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Laminaria nigripes	https://norcca.scrol.net/strain/k-0072	https://norcca.scrol.net/species/pogotrichum-filiforme
K-0075	Heterosigma akashiwo	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-0075	https://norcca.scrol.net/species/heterosigma-akashiwo
K-0077	Apedinella radians	Ochrophyta	Dictyochophyceae	Marine	https://norcca.scrol.net/strain/k-0077	https://norcca.scrol.net/species/apedinella-radians
K-0078	Apedinella radians	Ochrophyta	Dictyochophyceae	Marine	https://norcca.scrol.net/strain/k-0078	https://norcca.scrol.net/species/apedinella-radians
K-0081	Prymnesium parvum	Haptophyta	Prymnesiophyceae	Brackish	https://norcca.scrol.net/strain/k-0081	https://norcca.scrol.net/species/prymnesium-parvum
K-0082	Prymnesium parvum f. patelliferum	Haptophyta	Prymnesiophyceae	Brackish	https://norcca.scrol.net/strain/k-0082	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum
K-0083	Chlamydomonas geitleri	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-0083	https://norcca.scrol.net/species/chlamydomonas-geitleri
K-0084	Haematococcus lacustris	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-0084	https://norcca.scrol.net/species/haematococcus-lacustris
K-0087	Tribonema aequale	Ochrophyta	Xanthophyceae	Freshwater, Lagg and open water in bog	https://norcca.scrol.net/strain/k-0087	https://norcca.scrol.net/species/tribonema-aequale
K-0093	Oedogonium fragile	Chlorophyta	Chlorophyceae	Brackish, Dry ditch with sandy mud	https://norcca.scrol.net/strain/k-0093	https://norcca.scrol.net/species/oedogonium-fragile
K-0094	Oedogonium vaucheri	Chlorophyta	Chlorophyceae	Freshwater, On straw in ditch	https://norcca.scrol.net/strain/k-0094	https://norcca.scrol.net/species/oedogonium-vaucheri
K-0095	Mesotaenium caldariorum	Charophyta	Zygnematophyceae	Terrestrial, On soil between Vaucheria pseudogeminata	https://norcca.scrol.net/strain/k-0095	https://norcca.scrol.net/species/mesotaenium-caldariorum
K-0096	Phaeostroma pustulosum	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Chaetomorpha, 2m depth	https://norcca.scrol.net/strain/k-0096	https://norcca.scrol.net/species/phaeostroma-pustulosum
K-0097	Kuckuckia spinosa	Ochrophyta	Phaeophyceae	Marine, Littoral tide pool	https://norcca.scrol.net/strain/k-0097	https://norcca.scrol.net/species/kuckuckia-spinosa
K-0099	Pylaiella varia	Ochrophyta	Phaeophyceae	Marine, Epiphyte, on stipes of Laminaria longicruris	https://norcca.scrol.net/strain/k-0099	https://norcca.scrol.net/species/pylaiella-varia
K-0100	Coelocladia arctica	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0100	https://norcca.scrol.net/species/coelocladia-arctica
K-0112	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0112	https://norcca.scrol.net/species/scytosiphon-lomentaria
K-0117	Petalonia fascia	Ochrophyta	Phaeophyceae	Marine, Littoral zone, on rock	https://norcca.scrol.net/strain/k-0117	https://norcca.scrol.net/species/petalonia-fascia
K-0143	Schizomeris sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-0143	https://norcca.scrol.net/species/schizomeris-sp
K-0148	Klebsormidium sp.	Charophyta	Klebsormidiophyceae	Freshwater	https://norcca.scrol.net/strain/k-0148	https://norcca.scrol.net/species/klebsormidium-sp
K-0162	Tribonema minus	Ochrophyta	Xanthophyceae	Freshwater	https://norcca.scrol.net/strain/k-0162	https://norcca.scrol.net/species/tribonema-minus
K-0173	Tribonema regulare	Ochrophyta	Xanthophyceae	Freshwater, Phragmites swamp	https://norcca.scrol.net/strain/k-0173	https://norcca.scrol.net/species/tribonema-regulare
K-0183	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine, On smaller stones and mussel shells	https://norcca.scrol.net/strain/k-0183	https://norcca.scrol.net/species/scytosiphon-lomentaria
K-0187	Planctonema lauterbornii	Chlorophyta	Trebouxiophyceae	Freshwater	https://norcca.scrol.net/strain/k-0187	https://norcca.scrol.net/species/planctonema-lauterbornii
K-0195	Aphanochaete sp.	Chlorophyta	Chlorophyceae	Brackish, Epiphyte on Pilayella littoralis	https://norcca.scrol.net/strain/k-0195	https://norcca.scrol.net/species/aphanochaete-sp
K-0207	Pseudendoclonium basiliense Vischer var. brandii	Chlorophyta	Ulvophyceae	Brackish, Epiphyte on Potamogeton pectinatus	https://norcca.scrol.net/strain/k-0207	https://norcca.scrol.net/species/pseudendoclonium-basiliense-vischer-var-brandii
K-0208	Pseudendoclonium basiliense Vischer var. brandii	Chlorophyta	Ulvophyceae	Brackish, Epiphyte on Zostera marina	https://norcca.scrol.net/strain/k-0208	https://norcca.scrol.net/species/pseudendoclonium-basiliense-vischer-var-brandii
K-0211	Hyella balani	Cyanobacteria	Cyanophyceae	Marine, In calcareous shell	https://norcca.scrol.net/strain/k-0211	https://norcca.scrol.net/species/hyella-balani
K-0212	Hyella sp.	Cyanobacteria	Cyanophyceae	Marine, In calcareous shell	https://norcca.scrol.net/strain/k-0212	https://norcca.scrol.net/species/hyella-sp
K-0219	Ulvella heteroclada	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Chondrus crispus	https://norcca.scrol.net/strain/k-0219	https://norcca.scrol.net/species/ulvella-heteroclada
K-0220	Ulvella endostraca	Chlorophyta	Ulvophyceae	Marine, In calcareous shell	https://norcca.scrol.net/strain/k-0220	https://norcca.scrol.net/species/ulvella-endostraca
K-0224	Punctaria latifolia	Ochrophyta	Phaeophyceae	Marine, Sublittoral	https://norcca.scrol.net/strain/k-0224	https://norcca.scrol.net/species/punctaria-latifolia
K-0241	Pyramimonas mitra	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0241	https://norcca.scrol.net/species/pyramimonas-mitra
K-0243	Tetraselmis verrucosa	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0243	https://norcca.scrol.net/species/tetraselmis-verrucosa
K-0249	Pycnococcus provasolii	Chlorophyta	Prasinophyceae	Marine	https://norcca.scrol.net/strain/k-0249	https://norcca.scrol.net/species/pycnococcus-provasolii
K-0250	Oltmannsiellopsis unicellularis	Chlorophyta	Ulvophyceae	Marine	https://norcca.scrol.net/strain/k-0250	https://norcca.scrol.net/species/oltmannsiellopsis-unicellularis
K-0251	Nephroselmis rotunda	Chlorophyta	Nephroselmidophyceae	Marine	https://norcca.scrol.net/strain/k-0251	https://norcca.scrol.net/species/nephroselmis-rotunda
K-0252	Prymnesium parvum f. patelliferum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0252	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum
K-0253	Pyramimonas grossii	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0253	https://norcca.scrol.net/species/pyramimonas-grossii
K-0254	Pyramimonas mantoniae	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0254	https://norcca.scrol.net/species/pyramimonas-mantoniae
K-0255	Pyramimonas cirolanae	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0255	https://norcca.scrol.net/species/pyramimonas-cirolanae
K-0258	Pyramimonas olivacea	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0258	https://norcca.scrol.net/species/pyramimonas-olivacea
K-0261	Pyramimonas gorlestonae	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0261	https://norcca.scrol.net/species/pyramimonas-gorlestonae
K-0262	Cyanophora paradoxa	Glaucophyta	Glaucophyceae	Freshwater	https://norcca.scrol.net/strain/k-0262	https://norcca.scrol.net/species/cyanophora-paradoxa
K-0264	Pedinomonas minor	Chlorophyta	Pedinophyceae	Freshwater	https://norcca.scrol.net/strain/k-0264	https://norcca.scrol.net/species/pedinomonas-minor
K-0265	Pyramimonas moestrupii	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0265	https://norcca.scrol.net/species/pyramimonas-moestrupii
K-0268	Pyramimonas parkeae	Chlorophyta	Pyramimonadophyceae	Marine, Rock pool	https://norcca.scrol.net/strain/k-0268	https://norcca.scrol.net/species/pyramimonas-parkeae
K-0269	Nephroselmis rotunda	Chlorophyta	Nephroselmidophyceae	Marine	https://norcca.scrol.net/strain/k-0269	https://norcca.scrol.net/species/nephroselmis-rotunda
K-0274	Pyramimonas formosa	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0274	https://norcca.scrol.net/species/pyramimonas-formosa
K-0280	Dicrateria rotunda	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0280	https://norcca.scrol.net/species/dicrateria-rotunda
K-0282	Thalassiosira gravida	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-0282	https://norcca.scrol.net/species/thalassiosira-gravida
K-0284	Mantoniella squamata	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0284	https://norcca.scrol.net/species/mantoniella-squamata
K-0284A	Mantoniella squamata	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0284a	https://norcca.scrol.net/species/mantoniella-squamata
K-0285	Pyramimonas disomata	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0285	https://norcca.scrol.net/species/pyramimonas-disomata
K-0288	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides, drift	https://norcca.scrol.net/strain/k-0288	https://norcca.scrol.net/species/ulvella-scutata
K-0289	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Polysiphonia urceolata	https://norcca.scrol.net/strain/k-0289	https://norcca.scrol.net/species/ulvella-scutata
K-0292	Leptolyngbya ectocarpi	Cyanobacteria	Cyanophyceae	Marine, Small reefs 4-6m	https://norcca.scrol.net/strain/k-0292	https://norcca.scrol.net/species/leptolyngbya-ectocarpi
K-0293	Pyramimonas propulsa	Chlorophyta	Pyramimonadophyceae	Marine	https://norcca.scrol.net/strain/k-0293	https://norcca.scrol.net/species/pyramimonas-propulsa
K-0295	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0295	https://norcca.scrol.net/species/prorocentrum-cordatum
K-0296	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0296	https://norcca.scrol.net/species/tetraselmis-sp
K-0297	Tetraselmis suecica	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0297	https://norcca.scrol.net/species/tetraselmis-suecica
K-0298	Tetraselmis aff. maculata	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0298	https://norcca.scrol.net/species/tetraselmis-aff-maculata
K-0299	Callithamnion corymbosum	Rhodophyta	Florideophyceae	Marine	https://norcca.scrol.net/strain/k-0299	https://norcca.scrol.net/species/callithamnion-corymbosum
K-0302	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides	https://norcca.scrol.net/strain/k-0302	https://norcca.scrol.net/species/ulvella-scutata
K-0332	Rhodomonas baltica	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-0332	https://norcca.scrol.net/species/rhodomonas-baltica
K-0334	Eutreptiella gymnastica	Euglenozoa	Euglenophyceae	Marine	https://norcca.scrol.net/strain/k-0334	https://norcca.scrol.net/species/eutreptiella-gymnastica
K-0336	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0336	https://norcca.scrol.net/species/prorocentrum-cordatum
K-0338	Ulvella viridis	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Derbesia balbisiana or Bryopsis disticha	https://norcca.scrol.net/strain/k-0338	https://norcca.scrol.net/species/ulvella-viridis
K-0339	Tribonema vulgare	Ochrophyta	Xanthophyceae	Freshwater, Glyceria-swamp	https://norcca.scrol.net/strain/k-0339	https://norcca.scrol.net/species/tribonema-vulgare
K-0340	Tribonema regulare	Ochrophyta	Xanthophyceae	Freshwater	https://norcca.scrol.net/strain/k-0340	https://norcca.scrol.net/species/tribonema-regulare
K-0355	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0355	https://norcca.scrol.net/species/prorocentrum-cordatum
K-0358	Myrionema strangulans	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Laminaria sp.	https://norcca.scrol.net/strain/k-0358	https://norcca.scrol.net/species/myrionema-strangulans
K-0359	Stictyosiphon soriferus	Ochrophyta	Phaeophyceae	Marine, Stony reefs, depth c. 3m	https://norcca.scrol.net/strain/k-0359	https://norcca.scrol.net/species/stictyosiphon-soriferus
K-0360	Syncoryne reinkei	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Halosaccion ramentaceum	https://norcca.scrol.net/strain/k-0360	https://norcca.scrol.net/species/syncoryne-reinkei
K-0361	Litosiphon laminariae	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Acrothrix gracilis	https://norcca.scrol.net/strain/k-0361	https://norcca.scrol.net/species/litosiphon-laminariae
K-0364	Vaucheria coronata	Ochrophyta	Xanthophyceae	Brackish, On the verge of a large salt pan	https://norcca.scrol.net/strain/k-0364	https://norcca.scrol.net/species/vaucheria-coronata
K-0370	Halothrix lumbricalis	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Zostera	https://norcca.scrol.net/strain/k-0370	https://norcca.scrol.net/species/halothrix-lumbricalis
K-0371	Stictyosiphon tortilis	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0371	https://norcca.scrol.net/species/stictyosiphon-tortilis
K-0372	Delamarea attenuata	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0372	https://norcca.scrol.net/species/delamarea-attenuata
K-0373	Delamarea attenuata	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0373	https://norcca.scrol.net/species/delamarea-attenuata
K-0374	Prymnesium parvum f. patelliferum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0374	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum
K-0377	Tetraselmis marina	Chlorophyta	Chlorodendrophyceae	Marine, On calcareous shells	https://norcca.scrol.net/strain/k-0377	https://norcca.scrol.net/species/tetraselmis-marina
K-0379	Vaucheria litorea	Ochrophyta	Xanthophyceae	Brackish, Waterfilled salt pan	https://norcca.scrol.net/strain/k-0379	https://norcca.scrol.net/species/vaucheria-litorea
K-0380	Tetraselmis sp.	Chlorophyta	Chlorodendrophyceae	Marine	https://norcca.scrol.net/strain/k-0380	https://norcca.scrol.net/species/tetraselmis-sp
K-0385	Vaucheria canalicularis	Ochrophyta	Xanthophyceae	Freshwater, The river Cam	https://norcca.scrol.net/strain/k-0385	https://norcca.scrol.net/species/vaucheria-canalicularis
K-0387	Vaucheria erythrospora	Ochrophyta	Xanthophyceae	Brackish, dry part of salt marsh	https://norcca.scrol.net/strain/k-0387	https://norcca.scrol.net/species/vaucheria-erythrospora
K-0388	Vaucheria synandra	Ochrophyta	Xanthophyceae	Brackish, Estuary	https://norcca.scrol.net/strain/k-0388	https://norcca.scrol.net/species/vaucheria-synandra
K-0392	Trichothyra irregularis	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Cladophora sp.	https://norcca.scrol.net/strain/k-0392	https://norcca.scrol.net/species/trichothyra-irregularis
K-0394	Prymnesium nemamethecum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0394	https://norcca.scrol.net/species/prymnesium-nemamethecum
K-0399	Apocalathium malmogiense	Myzozoa	Dinophyceae	Marine, Sea Ice	https://norcca.scrol.net/strain/k-0399	https://norcca.scrol.net/species/apocalathium-malmogiense
K-0400	Vaucheria bursata	Ochrophyta	Xanthophyceae	Freshwater	https://norcca.scrol.net/strain/k-0400	https://norcca.scrol.net/species/vaucheria-bursata
K-0404	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater, Birdbath	https://norcca.scrol.net/strain/k-0404	https://norcca.scrol.net/species/haematococcus-sp
K-0406	Amphidinium carterae	Myzozoa	Dinophyceae	Marine, Sediment	https://norcca.scrol.net/strain/k-0406	https://norcca.scrol.net/species/amphidinium-carterae
K-0407	Ulvella viridis	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Derbesia balbisiana or Bryopsis disticha	https://norcca.scrol.net/strain/k-0407	https://norcca.scrol.net/species/ulvella-viridis
K-0408	Synechococcus sp.	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-0408	https://norcca.scrol.net/species/synechococcus-sp
K-0417	Bathycoccus prasinos	Chlorophyta	Mamiellophyceae	Marine	https://norcca.scrol.net/strain/k-0417	https://norcca.scrol.net/species/bathycoccus-prasinos
K-0420	Streblonema zanardinii	Ochrophyta	Phaeophyceae	Marine, Epi-/endo-phyte on/in Chylocladia	https://norcca.scrol.net/strain/k-0420	https://norcca.scrol.net/species/streblonema-zanardinii
K-0421	Chlorocystis cohnii	Chlorophyta	Chlorophyceae	Marine, Epi-/endophyte on Polysiphonia violacea	https://norcca.scrol.net/strain/k-0421	https://norcca.scrol.net/species/chlorocystis-cohnii
K-0422	Punctaria tenuissima	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Ceramium	https://norcca.scrol.net/strain/k-0422	https://norcca.scrol.net/species/punctaria-tenuissima
K-0425	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine, On rock	https://norcca.scrol.net/strain/k-0425	https://norcca.scrol.net/species/scytosiphon-lomentaria
K-0426	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine, On rock	https://norcca.scrol.net/strain/k-0426	https://norcca.scrol.net/species/scytosiphon-lomentaria
K-0427	Ectocarpus siliculosus	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Chordaria flagelliformis	https://norcca.scrol.net/strain/k-0427	https://norcca.scrol.net/species/ectocarpus-siliculosus
K-0432	Chroomonas vectensis	Cryptophyta	Cryptophyceae	Marine/brackish	https://norcca.scrol.net/strain/k-0432	https://norcca.scrol.net/species/chroomonas-vectensis
K-0435	Rhodomonas marina	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-0435	https://norcca.scrol.net/species/rhodomonas-marina
K-0437	Brachiomonas submarina	Chlorophyta	Chlorophyceae	Brackish, In puddle on jetty	https://norcca.scrol.net/strain/k-0437	https://norcca.scrol.net/species/brachiomonas-submarina
K-0444	Olisthodiscus luteus	Ochrophyta	Raphidophyceae	Brackish	https://norcca.scrol.net/strain/k-0444	https://norcca.scrol.net/species/olisthodiscus-luteus
