Species	HAB_effect	AphiaID	Match type	ScientificName	Authority
Halamphora coffeaeformis	ASP	624065	exact	Halamphora coffeaeformis	(C.Agardh) Levkov, 2009
Pseudo-nitzschia calliantha	ASP	246605	exact	Pseudo-nitzschia calliantha	Lundholm, Moestrup & Hasle, 2003
Pseudo-nitzschia cuspidate	ASP	370512	near_1	Pseudo-nitzschia cuspidata	(Hasle) Hasle, 1993
Pseudo-nitzschia delicatissima	ASP	149153	exact	Pseudo-nitzschia delicatissima	(Cleve) Heiden, 1928
Pseudo-nitzschia fraudulenta	ASP	246606	exact	Pseudo-nitzschia fraudulenta	(Cleve) Hasle, 1993
Pseudo-nitzschia multiseries	ASP	175738	exact	Pseudo-nitzschia multiseries	(Hasle) Hasle, 1995
Pseudo-nitzschia pseudodelicatissima	ASP	156548	exact	Pseudo-nitzschia pseudodelicatissima	(Hasle) Hasle, 1993
Pseudo-nitzschia pungens	ASP	160528	exact	Pseudo-nitzschia pungens	(Grunow ex Cleve) G.R.Hasle, 1993
Pseudo-nitzschia seriata	ASP	149152	exact	Pseudo-nitzschia seriata	(Cleve) H.Peragallo, 1899
Chrysochromulina leadbeateri	Fish killer	246591	exact	Chrysochromulina leadbeateri	Estep, Davis, Hargreaves & Sieburth, 1984
Phaeocystis globosa	Fish killer	160538	exact	Phaeocystis globosa	Scherffel, 1899
Phaeocystis pouchetii	Fish killer	115106	exact	Phaeocystis pouchetii	(Hariot) Lagerheim, 1896
Prymnesium parvum	Fish killer	160564	exact	Prymnesium parvum	N.Carter, 1937
Prymnesium polylepis	Fish killer	670030	exact	Prymnesium polylepis	(Manton & Parke) Edvardsen, Eikrem & Probert, 2011
Amphidinium carterae	Fish killer, haemolytic	109723	exact	Amphidinium carterae	Hulburt, 1957
Amphidinium operculatum	Fish killer, haemolytic	109745	exact	Amphidinium operculatum	Claparède & Lachmann, 1859
Dinophysis acuminata	DSP	109603	exact	Dinophysis acuminata	Claparède & Lachmann, 1859
Dinophysis acuta	DSP	109604	exact	Dinophysis acuta	Ehrenberg, 1839
Dinophysis caudata	DSP	109612	exact	Dinophysis caudata	Saville-Kent, 1881
Dinophysis fortii	DSP	109624	exact	Dinophysis fortii	Pavillard, 1924
Dinophysis norvegica	DSP	109637	exact	Dinophysis norvegica	Claparède & Lachmann, 1859
Dinophysis tripos	DSP	109662	exact	Dinophysis tripos	Gourret, 1883
Alexandrium minutum	PSP	109711	exact	Alexandrium minutum	Halim, 1960
Alexandrium ostenfeldii	PSP	109712	exact	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985
Alexandrium pseudogonyaulax	PSP	109713	exact	Alexandrium pseudogonyaulax	(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992
Alexandrium tamarense	PSP	109714	exact	Alexandrium tamarense	(Lebour) Balech, 1995
Gonyaulax spinifera	YTX	110041	exact	Gonyaulax spinifera	(Claparède & Lachmann) Diesing, 1866
Lingulodinium polyedra	YTX	233592	exact	Lingulodinium polyedra	(F.Stein) J.D.Dodge, 1989
Protoceratium reticulatum	YTX	110321	exact	Protoceratium reticulatum	(Claparède & Lachmann) Bütschli, 1885
Karenia mikimotoi	Fish killer	233024	exact	Karenia mikimotoi	(Miyake & Kominami ex Oda) Gert Hansen & Moestrup, 2000
Karlodinium veneficum	Fish killer	233037	exact	Karlodinium veneficum	(D.Ballantine) J.Larsen, 2000
Prorocentrum lima	DSP	110301	exact	Prorocentrum lima	(Ehrenberg) F.Stein, 1878
Azadinium spinosum	AZA	391509	exact	Azadinium spinosum	Elbrächter & Tillmann, 2009
Fibrocapsa japonica	Fish killer	233761	exact	Fibrocapsa japonica	S.Toriumi & H.Takano, 1973
Heterosigma akashiwo	Fish killer	160585	exact	Heterosigma akashiwo	(Y.Hada) Y.Hada ex Y.Hara & M.Chihara, 1987
Pseudochattonella farcimen	Fish killer	531467	exact	Pseudochattonella farcimen	(Eikrem, Edvardsen & J.Throndsen) Eichrem, 2009
Pseudochattonella verruculosa	Fish killer	531446	exact	Pseudochattonella verruculosa	(Y.Hara & M.Chihara) S.Tanabe-Hosoi, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako, 2007
Anagnostidinema amphibium	Cyano toxins	1313613	exact	Anagnostidinema amphibium	(C.Agardh ex Gomont) Strunecký, Bohunická, J.R.Johansen & J.Komárek, 2017
Aphanizomenon flosaquae	Cyano toxins	609460	exact	Aphanizomenon flosaquae	Ralfs ex Bornet & Flahault, 1886
Coelosphaerium kuetzingianum	Cyano toxins	177100	exact	Coelosphaerium kuetzingianum	Nägeli, 1849
Dolichospermum flosaquae	Cyano toxins	623803	exact	Dolichospermum flosaquae	(Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009
Dolichospermum lemmermannii	Cyano toxins	625374	exact	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009
Dolichospermum macrosporum	Cyano toxins	625403	exact	Dolichospermum macrosporum	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009
Dolichospermum planctonicum	Cyano toxins	625407	exact	Dolichospermum planctonicum	(Brunnthaler) Wacklin, L.Hoffmann & Komárek, 2009
Dolichospermum sigmoideum	Cyano toxins	625408	exact	Dolichospermum sigmoideum	(Nygaard) Wacklin, L.Hoffmann & Komárek, 2009
Dolichospermum spiroides	Cyano toxins	625411	exact	Dolichospermum spiroides	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009
Gloeotrichia echinulata	Cyano toxins	409630	exact	Gloeotrichia echinulata	P.G.Richter, 1894
Limnothrix redekei	Cyano toxins	177508	exact	Limnothrix redekei	(Goor) Meffert, 1988
Microcystis aeruginosa	Cyano toxins	146558	exact	Microcystis aeruginosa	(Kützing) Kützing, 1846
Microcystis flosaquae	Cyano toxins	699375	exact	Microcystis flosaquae	(Wittrock) Kirchner, 1898
Microcystis ichthyoblabe	Cyano toxins	177245	exact	Microcystis ichthyoblabe	(G.Kunze) Kützing, 1843
Microcystis wesenbergii	Cyano toxins	146561	exact	Microcystis wesenbergii	(Komárek) Komárek ex Komárek, 2006
Microcystis viridis	Cyano toxins	177400	exact	Microcystis viridis	(A.Braun) Lemmermann, 1903
Nodularia spumigena	Cyano toxins	160566	exact	Nodularia spumigena	Mertens ex Bornet & Flahault, 1888
Planktothrix agardhii	Cyano toxins	146552	exact	Planktothrix agardhii	(Gomont) Anagnostidis & Komárek, 1988
Snowella lacustris	Cyano toxins	146645	exact	Snowella lacustris	(Chodat) Komárek & Hindák, 1988
