scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Leegaardiella	Lynn & Montagnes, 1988	Genus	101179	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101179	Leegaardiellidae	425493	accepted	101179	Leegaardiella	Lynn & Montagnes, 1988	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella
Lohmanniella	Leegaard, 1915	Genus	101180	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101180	Lohmanniellidae	414837	accepted	101180	Lohmanniella	Leegaard, 1915	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella
Strobilidium	Schewiakoff, 1892	Genus	101185	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101185	Strobilidiidae	22563	accepted	101185	Strobilidium	Schewiakoff, 1892	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Strobilidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Strobilidium
Laboea	Lohmann, 1908	Genus	101190	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101190	Tontoniidae	425511	accepted	101190	Laboea	Lohmann, 1908	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Laboea
Strombidium	Claparède & Lachmann, 1859	Genus	101195	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101195	Strombidiidae	1703	accepted	101195	Strombidium	Claparède & Lachmann, 1859	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium
Tontonia	Fauré-Fremiet, 1914	Genus	101196	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101196	Tontoniidae	425511	accepted	101196	Tontonia	Fauré-Fremiet, 1914	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Tontonia	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Tontonia
Strombidinopsis	Kent, 1881	Genus	101198	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101198	Strombidinopsidae	22564	accepted	101198	Strombidinopsis	Kent, 1881	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strombidinopsina - [Family] Strombidinopsidae - [Genus] Strombidinopsis
Leegaardiella ovalis	Lynn & Montagnes, 1988	Species	101206	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101206	Leegaardiella	101179	accepted	101206	Leegaardiella ovalis	Lynn & Montagnes, 1988	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella ovalis
Leegaardiella sol	Lynn & Montagnes, 1988	Species	101207	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101207	Leegaardiella	101179	accepted	101207	Leegaardiella sol	Lynn & Montagnes, 1988	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella sol
Lohmanniella oviformis	Leegaard, 1915	Species	101209	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101209	Lohmanniella	101180	accepted	101209	Lohmanniella oviformis	Leegaard, 1915	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella - [Species] Lohmanniella oviformis
